fuel model number,fuel model code,1-hr fuel load,10-hr fuel load,100-hr fuel load,live herb fuel load,live woody fuel load,fuel model type,1-hr surface area/vol ratio,herb. surface area/vol ratio,live woody surface area/vol ratio,Fuel Bed Depth,Dead fuel moisture of Ext.,dead fuel heat content,live fuel heat content,fuel model name
1,1,0.74,0.00,0.00,0.00,0.00,N/A,3500,9999,9999,1.00,12,8000,8000,Short grass
2,2,2.00,1.00,0.50,0.50,0.00,static,3000,1500,9999,1.00,15,8000,8000,Timber grass and understory
3,3,3.01,0.00,0.00,0.00,0.00,N/A,1500,9999,9999,2.50,25,8000,8000,tall grass
4,4,5.01,4.01,2.00,0.00,5.01,N/A,2000,9999,1500,6.00,20,8000,8000,chaparral
5,5,1.00,0.50,0.00,0.00,2.00,N/A,2000,9999,1500,2.00,20,8000,8000,brush
6,6,1.50,2.50,2.00,0.00,0.00,N/A,1750,9999,9999,2.50,25,8000,8000,dormant brush
7,7,1.13,1.87,1.50,0.00,0.37,N/A,1750,9999,1500,2.50,40,8000,8000,southern rough
8,8,1.50,1.00,2.50,0.00,0.00,N/A,2000,9999,9999,0.20,30,8000,8000,compact timber litter
9,9,2.92,0.41,0.15,0.00,0.00,N/A,2500,9999,9999,0.20,25,8000,8000,hardwood litter
10,10,3.01,2.00,5.01,0.00,2.00,N/A,2000,9999,1500,1.00,25,8000,8000,timber litter and understory
11,11,1.50,4.51,5.51,0.00,0.00,N/A,1500,9999,9999,1.00,15,8000,8000,light slash
12,12,4.01,14.03,16.53,0.00,0.00,N/A,1500,9999,9999,2.30,20,8000,8000,medium slash
13,13,7.01,23.04,28.05,0.00,0.00,N/A,1500,9999,9999,3.00,25,8000,8000,heavy slash
91,NB1,0.00,0.00,0.00,0.00,0.00,N/A,9999,9999,9999,N/A,N/A,N/A,N/A,water
92,NB2,0.00,0.00,0.00,0.00,0.00,N/A,9999,9999,9999,N/A,N/A,N/A,N/A,urban/developed
93,NB3,0.00,0.00,0.00,0.00,0.00,N/A,9999,9999,9999,N/A,N/A,N/A,N/A,bare ground
94,NB4,0.00,0.00,0.00,0.00,0.00,N/A,9999,9999,9999,N/A,N/A,N/A,N/A,agriculture
95,NB5,0.00,0.00,0.00,0.00,0.00,N/A,9999,9999,9999,N/A,N/A,N/A,N/A,snow/ice
